"posicion","provincia","cod","canton","ids_2023","densidad_pob","cod_prov","cod_cant"
1,"SAN JOSE","102","Escazú",10000,20620,"1","02"
2,"HEREDIA","407","Belén",9975,21691,"4","07"
3,"HEREDIA","408","Flores",9786,37631,"4","08"
4,"SAN JOSE","109","Santa Ana",9458,10070,"1","09"
5,"HEREDIA","403","Santo Domingo",9313,19620,"4","03"
6,"HEREDIA","405","San Rafael",9015,11708,"4","05"
7,"HEREDIA","409","San Pablo",8956,37793,"4","09"
8,"HEREDIA","402","Barva",8916,8604,"4","02"
9,"SAN JOSE","114","Moravia",8872,21950,"1","14"
10,"ALAJUELA","205","Atenas",8871,2366,"2","05"
11,"SAN JOSE","115","Montes de Oca",8860,39825,"1","15"
12,"HEREDIA","406","San Isidro",8778,8870,"4","06"
13,"ALAJUELA","207","Palmares",8717,10736,"2","07"
14,"SAN JOSE","118","Curridabat",8564,50235,"1","18"
15,"CARTAGO","301","Cartago",8499,5964,"3","01"
70,"CARTAGO","305","Turrialba",3601,463,"3","05"
71,"PUNTARENAS","610","Corredores",3479,858,"6","10"
72,"PUNTARENAS","608","Coto Brus",3308,469,"6","08"
73,"PUNTARENAS","605","Osa",3231,162,"6","05"
74,"LIMON","701","Limón",3193,567,"7","01"
75,"LIMON","705","Matina",2523,615,"7","05"
76,"GUANACASTE","510","La Cruz",2502,203,"5","10"
77,"PUNTARENAS","607","Golfito",2436,326,"6","07"
78,"ALAJUELA","215","Guatuso",2423,262,"2","15"
79,"HEREDIA","410","Sarapiquí",2265,409,"4","10"
80,"ALAJUELA","213","Upala",2252,348,"2","13"
81,"PUNTARENAS","603","Buenos Aires",1533,230,"6","03"
82,"PUNTARENAS","613","Puerto Jimenez",1302,178,"6","13"
83,"ALAJUELA","214","Los Chiles",925,264,"2","14"
84,"LIMON","704","Talamanca",0,160,"7","04"
